Vendor,Title,CVE,CVSS,Date of NVD publication,Date of vendor advisory,Used in ransomware attacks?,Summary,Date added to KEV Catalog,Vendor Advisory,Date of Known Exploitation,Threat actor,Targets,Metasploit Module,Grey Noise (#of Malicious IPs Scanning),Number of vulnerable devices,Number of impacted devices,Grey Noise Link
Fortinet,Fortinet FortiOS SSL VPN Improper Authentication Vulnerability,CVE-2020-12812,9.8,7/24/20,7/13/20,Known,Fortinet FortiOS SSL VPN contains an improper authentication vulnerability that may allow a user to login successfully without being prompted for the second factor of authentication (FortiToken) if they change the case in their username.,11/3/21,https://www.fortiguard.com/psirt/FG-IR-19-283,Unknown,"Play, IRGC, Lapsus$, Lazarus Group","Government,Journalists,Shipping,Pharmaceuticals,Insurance,Education,Human rights,Media,Manufacturing,Healthcare,Medical,Political,Critical industries,Airline,Foreign affairs,Retail,Critical infrastructure,Financial,Transportation,Telecommunication,Academics,Health,Telecommunications,Auto,Ballistic,Logistics,Finance,Construction,Legal,Information technology,Tech",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-12812
Fortinet,Fortinet FortiOS SSL VPN Path Traversal Vulnerability,CVE-2018-13379,9.8,6/4/19,5/24/19,Known,Fortinet FortiOS SSL VPN web portal contains a path traversal vulnerability that may allow an unauthenticated attacker to download FortiOS system files through specially crafted HTTP resource requests.,11/3/21,https://www.fortiguard.com/psirt/FG-IR-18-384,May-19,"Play, Agrius, LockBit","Pharmaceuticals,Telecommunications,Journalists,Healthcare,Financial,Foreign affairs,Shipping,Human rights,Agriculture,Logistics,Education,Academics,Critical industries,Financial services,Government,Food,Transportation,Political,Tech,Construction,Cryptocurrency,Manufacturing,Critical infrastructure,Media,Finance,Medical,Ballistic,Legal,Energy,Higher education",N,91,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-13379
Fortinet,Fortinet FortiOS Arbitrary File Download,CVE-2021-44168,7.8,1/4/22,12/7/21,Unknown,"Fortinet FortiOS ""execute restore src-vis"" downloads code without integrity checking, allowing an attacker to arbitrarily download files.",12/10/21,https://www.fortiguard.com/psirt/FG-IR-21-201,Dec-21,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2021-44168
Fortinet,Fortinet FortiOS and FortiProxy Improper Authorization,CVE-2018-13382,7.5,6/4/19,6/4/19,Known,An Improper Authorization vulnerability in Fortinet FortiOS and FortiProxy under SSL VPN web portal allows an unauthenticated attacker to modify the password.,1/10/22,https://fortiguard.com/advisory/FG-IR-18-389,Unknown,Possible PRC state actors,"Telecommunications, Network service providers",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-13382
Fortinet,Fortinet FortiOS and FortiProxy Out-of-bounds Write,CVE-2018-13383,6.5,5/29/19,4/2/19,Known,A heap buffer overflow in Fortinet FortiOS and FortiProxy may cause the SSL VPN web service termination for logged in users.,1/10/22,https://www.fortiguard.com/psirt/FG-IR-18-388,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-13383
Fortinet,Fortinet FortiOS and FortiADC Improper Access Control Vulnerability,CVE-2018-13374,4.3,1/22/19,Unknown,Known,Fortinet FortiOS and FortiADC contain an improper access control vulnerability that allows attackers to obtain the LDAP server login credentials configured in FortiGate by pointing a LDAP server connectivity test request to a rogue LDAP server.,9/8/22,https://fortiguard.fortinet.com/psirt/FG-IR-18-157,Unknown,"Conti, Ryuk, Pysa, Cl0p, Hive, LockBit, RagnarLocker, BlackByte, BlackCat, Conti","Retail,Manufacturing,Construction",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-13374
Fortinet,Fortinet Multiple Products Authentication Bypass Vulnerability,CVE-2022-40684,9.8,10/18/22,10/10/22,Known,"Fortinet FortiOS, FortiProxy, and FortiSwitchManager contain an authentication bypass vulnerability that could allow an unauthenticated attacker to perform operations on the administrative interface via specially crafted HTTP or HTTPS requests.",10/11/22,https://www.fortiguard.com/psirt/FG-IR-22-377,Oct-22,Unknown,"Telecommunications,Technology,Foreign affairs,Government,Individuals,Manufacturing",Y,22,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-40684
Fortinet,Fortinet FortiOS Heap-Based Buffer Overflow Vulnerability,CVE-2022-42475,9.8,1/2/23,12/12/22,Unknown,"Multiple versions of Fortinet FortiOS SSL-VPN contain a heap-based buffer overflow vulnerability which can allow an unauthenticated, remote attacker to execute arbitrary code or commands via specifically crafted requests.",12/13/22,https://www.fortiguard.com/psirt/FG-IR-22-398,Dec-22,"UNC3886,Scarab,Snatch,CosmicBeetle,Lazarus","Education,Technology,Legal,Information technology,Entertainment,Defense,Industrial,Pharmaceuticals,Manufacturing,Government,Aeronautical,Agriculture,Financial services,Critical infrastructure,Healthcare,Food,Hospitality,Consulting,Critical national,Finance,Medical",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-42475
Fortinet,Fortinet FortiOS Path Traversal Vulnerability,CVE-2022-41328,7.1,3/7/23,3/7/23,Unknown,Fortinet FortiOS contains a path traversal vulnerability that may allow a local privileged attacker to read and write files via crafted CLI commands.,3/14/23,https://www.fortiguard.com/psirt/FG-IR-22-369,Unknown,UNC3886,"Defense,Telecommunications,Industrial,Government,Technology",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-41328
Fortinet,Fortinet FortiOS and FortiProxy SSL-VPN Heap-Based Buffer Overflow Vulnerability,CVE-2023-27997,9.8,6/13/23,6/12/23,Unknown,"Fortinet FortiOS and FortiProxy SSL-VPN contain a heap-based buffer overflow vulnerability which can allow an unauthenticated, remote attacker to execute code or commands via specifically crafted requests.",6/13/23,https://www.fortiguard.com/psirt/FG-IR-23-097,Jun-23,"Volt Typhoon,RansomHub,OnyxSleet,Andariel","Government,Food and agriculture,Manufacturing,Healthcare,Commercial facilities,Critical manufacturing,Transportation,Financial services,Water and wastewater,Emergency services,Communications,Information technology,Health care and social assistance,Water and wastewater,Defense,Manufacturing,Healthcare,Commercial facilities,Banking,Consulting,Oil,Foreign affairs,Critical national,Utilities,Energy,Individuals,Transportation,Transportation and warehousing,Communications,Telecommunications,Critical manufacturing,Gas,Information technology",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2023-27997
Fortinet,Fortinet FortiOS Out-of-Bound Write Vulnerability,CVE-2024-21762,9.8,2/9/24,2/8/24,Unknown,Fortinet FortiOS contains an out-of-bound write vulnerability that allows a remote unauthenticated attacker to execute code or commands via specially crafted HTTP requests.,2/9/24,https://www.fortiguard.com/psirt/FG-IR-24-015,Feb-24,Unknown,"Healthcare,Government.Technology",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2024-21762
Fortinet,Fortinet FortiClient EMS SQL Injection Vulnerability,CVE-2023-48788,9.8,3/12/24,3/12/24,Known,Fortinet FortiClient EMS contains a SQL injection vulnerability that allows an unauthenticated attacker to execute commands as SYSTEM via specifically crafted requests.,3/25/24,https://fortiguard.com/psirt/FG-IR-24-007,Mar-24,"RansomHub,APT-C-36","Critical manufacturing,Government,Financial services,Information technology,Communications,Emergency services,Food and agriculture,Healthcare,Water and wastewater,Transportation,Commercial facilities,Services,Logistics,Construction,Communications,Emergency services,Hospitality,Chemical,Commercial facilities,Education,Food and agriculture,Electronics,Legal,Healthcare,Technology,Telecommunications,Manufacturing,Government,Financial services,Information technology,Water and wastewater,Retail",Y,1,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2023-48788
Cisco,Cisco ASA and FTD Read-Only Path Traversal Vulnerability,CVE-2020-3452,7.5,7/22/20,7/22/20,Unknown,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an improper input validation vulnerability when HTTP requests process URLs.  An attacker could exploit this vulnerability by sending a crafted HTTP request containing directory traversal character sequences to an affected device. A successful exploit could allow the attacker to view arbitrary files within the web services file system on the targeted device.,11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-asaftd-ro-path-KJuQhB86.html,Jul-20,Unknown,Finance,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3452
Cisco,Cisco ASA and FTD Cross-Site Scripting (XSS) Vulnerability,CVE-2020-3580,6.1,10/21/20,10/21/20,Unknown,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an insufficient input validation vulnerability for user-supplied input by the web services interface.  Successful exploitation could allow an attacker to perform cross-site scripting (XSS) in the context of the interface or access sensitive browser-based information.,11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-asaftd-xss-multiple-FCB3vPZe.html,Oct-20,Unknown,Unknown,N,13,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3580
Cisco,Cisco HyperFlex HX Installer Virtual Machine Command Injection Vulnerability,CVE-2021-1497,9.8,5/6/21,5/5/21,Unknown,Cisco HyperFlex HX Installer Virtual Machine contains an insufficient input validation vulnerability which could allow an attacker to execute commands on an affected device as theï¿½rootï¿½user.,11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-hyperflex-rce-TjjNrkpR.html,May-21,Lazarus Group,"Defense,Critical infrastructure,Government,Aerospace,Education,Healthcare,Industrial",N,41,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2021-1497
Cisco,Cisco HyperFlex HX Data Platform Command Injection Vulnerability,CVE-2021-1498,9.8,5/6/21,5/5/21,Unknown,Cisco HyperFlex HX Installer Virtual Machine contains an insufficient input validation vulnerability which could allow an attacker to execute commands on an affected device as the tomcat8 user.,11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-hyperflex-rce-TjjNrkpR.html,May-21,Unknown,Unknown,N,41,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2021-1498
Cisco,Cisco IOS and IOS XE Software Smart Install Remote Code Execution Vulnerability,CVE-2018-0171,9.8,3/28/18,3/28/18,Unknown,"Cisco IOS and IOS XE Software improperly validates packet data, allowing an unauthenticated, remote attacker to trigger a reload of an affected device, cause a denial-of-service (DoS) condition, or perform code execution on the affected device.",11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-smi2.html,Nov-21,Possible PRC state actors,"Telecommunications,Network service providers",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0171
Cisco,Cisco IOS XR Software Discovery Protocol Format String Vulnerability,CVE-2020-3118,8.8,2/5/20,2/5/20,Unknown,"Cisco IOS XR improperly validates string input from certain fields in Cisco Discovery Protocol messages. Exploitation could allow an unauthenticated, adjacent attacker to execute code with administrative privileges or cause a reload on an affected device.",11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20200205-iosxr-cdp-rce.html,Oct-20,Unknown,"Defense,Government",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3118
Cisco,Cisco IOS XR Software DVMRP Memory Exhaustion Vulnerability,CVE-2020-3566,8.6,8/29/20,8/29/20,Unknown,"Cisco IOS XR Distance Vector Multicast Routing Protocol (DVMRP) incorrectly handles Internet Group Management Protocol (IGMP) packets. Exploitation could allow an unauthenticated, remote attacker to immediately crash the IGMP process or make it consume available memory and eventually crash.",11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-iosxr-dvmrp-memexh-dSmpdvfz.html,Aug-20,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3566
Cisco,Cisco IOS XR Software DVMRP Memory Exhaustion Vulnerability,CVE-2020-3569,8.6,8/29/20,8/29/20,Unknown,"Cisco IOS XR Distance Vector Multicast Routing Protocol (DVMRP) incorrectly handles Internet Group Management Protocol (IGMP) packets. Exploitation could allow an unauthenticated, remote attacker to immediately crash the IGMP process or make it consume available memory and eventually crash.",11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-iosxr-dvmrp-memexh-dSmpdvfz.html,Aug-20,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3569
Cisco,Cisco IP Phones Web Server Remote Code Execution and Denial-of-Service Vulnerability,CVE-2020-3161,9.8,4/15/20,4/15/20,Unknown,Cisco IP Phones contain an improper input validation vulnerability for HTTP requests. Exploitation could allow an attacker to execute code remotely withï¿½rootï¿½privileges or cause a denial-of-service (DoS) condition.,11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-voip-phones-rce-dos-rB6EeRXs.html,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3161
Cisco,Cisco Small Business RV320 and RV325 Routers Information Disclosure Vulnerability,CVE-2019-1653,7.5,1/24/19,3/28/19,Unknown,Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers contain improper access controls for URLs. Exploitation could allow an attacker to download the router configuration or detailed diagnostic information.,11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20190123-rv-info.html,Jan-19,"APT41, APT35, Blackwood","Government,Healthcare,Telecommunications,Software,Technology,Gaming,Education,Electrical,ICS,Energy,Critical infrastructure,Legal,Aviation",Y,44,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2019-1653
Cisco,Cisco Adaptive Security Appliance (ASA) Denial-of-Service Vulnerability,CVE-2018-0296,7.5,6/7/18,6/6/18,Unknown,Cisco Adaptive Security Appliance (ASA) contains an improper input validation vulnerability with HTTP URLs. Exploitation could allow an attacker to cause a denial-of-service (DoS) condition or information disclosure.,11/3/21,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180606-asaftd.html,Sep-19,Sea Turtle campaign,"Energy,Government",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0296
Cisco,Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability,CVE-2022-20708,8,2/10/22,2/2/22,Unknown,"A vulnerability in Cisco Small Business RV160, RV260, RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).",3/3/22,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-smb-mult-vuln-KA9PK6D,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-20708
Cisco,Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability,CVE-2022-20703,8,2/10/22,2/2/22,Unknown,"A vulnerability in Cisco Small Business RV160, RV260, RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).",3/3/22,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-smb-mult-vuln-KA9PK6D,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-20703
Cisco,Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability,CVE-2022-20701,7.8,2/10/22,2/2/22,Unknown,"A vulnerability in Cisco Small Business RV160, RV260, RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).",3/3/22,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-smb-mult-vuln-KA9PK6D,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-20701
Cisco,Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability,CVE-2022-20700,9.8,2/10/22,2/2/22,Unknown,"A vulnerability in Cisco Small Business RV160, RV260, RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).",3/3/22,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-smb-mult-vuln-KA9PK6D,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-20700
Cisco,Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability,CVE-2022-20699,9.8,2/10/22,2/2/22,Unknown,"A vulnerability in Cisco Small Business RV160, RV260, RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).",3/3/22,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-smb-mult-vuln-KA9PK6D,Unknown,Unknown,Unknown,Y,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-20699
Cisco,Cisco Small Business Routers Improper Input Validation Vulnerability,CVE-2019-1652,7.2,1/24/19,3/28/19,Unknown,"A vulnerability in the web-based management interface of Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers could allow an authenticated, remote attacker with administrative privileges on an affected device to execute arbitrary commands.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20190123-rv-inject.html,Jan-19,"APT41, Blackwood, possible PRC state actors","Technology,Software,Gaming,Education,Government,Healthcare,Telecommunications,Network service providers",Y,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2019-1652
Cisco,Cisco IOS Software Denial-of-Service Vulnerability,CVE-2018-0180,5.9,3/28/18,3/28/18,Unknown,"A vulnerability in the Login Enhancements (Login Block) feature of Cisco IOS Software could allow an unauthenticated, remote attacker to trigger a reload of an affected system, resulting in a denial of service (DoS) condition.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-slogin.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0180
Cisco,Cisco IOS Software Denial-of-Service Vulnerability,CVE-2018-0179,5.9,3/28/18,3/28/18,Unknown,"A vulnerability in the Login Enhancements (Login Block) feature of Cisco IOS Software could allow an unauthenticated, remote attacker to trigger a reload of an affected system, resulting in a denial of service (DoS) condition.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-slogin.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0179
Cisco,"Cisco IOS, XR, and XE Software Buffer Overflow Vulnerability",CVE-2018-0175,8,3/28/18,3/28/18,Unknown,"Format string vulnerability in the Link Layer Discovery Protocol (LLDP) subsystem of Cisco IOS Software, Cisco IOS XE Software, and Cisco IOS XR Software could allow an unauthenticated, adjacent attacker to cause a denial of service (DoS) condition or execute arbitrary code with elevated privileges on an affected device.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-lldp.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0175
Cisco,Cisco IOS Software and Cisco IOS XE Software Improper Input Validation Vulnerability,CVE-2018-0174,8.6,3/28/18,3/28/18,Unknown,A vulnerability in the DHCP option 82 encapsulation functionality of Cisco IOS Software and Cisco IOS XE Software could allow for denial-of-service (DoS).,3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-dhcpr3.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0174
Cisco,Cisco IOS and IOS XE Software Improper Input Validation Vulnerability,CVE-2018-0173,8.6,3/28/18,3/28/18,Unknown,A vulnerability in the Cisco IOS Software and Cisco IOS XE Software function that restores encapsulated option 82 information in DHCP Version 4 (DHCPv4) packets can allow for denial-of-service (DoS).,3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-dhcpr2.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0173
Cisco,Cisco IOS and IOS XE Software Improper Input Validation Vulnerability,CVE-2018-0172,8.6,3/28/18,3/28/18,Unknown,A vulnerability in the DHCP option 82 encapsulation functionality of Cisco IOS Software and Cisco IOS XE Software could allow for denial-of-service (DoS).,3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-dhcpr1.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0172
Cisco,"Cisco IOS, XR, and XE Software Buffer Overflow Vulnerability",CVE-2018-0167,8.8,3/28/18,3/28/18,Unknown,"There is a buffer overflow vulnerability in the Link Layer Discovery Protocol (LLDP) subsystem of Cisco IOS Software, Cisco IOS XE Software, and Cisco IOS XR Software which could allow an unauthenticated, adjacent attacker to cause a denial of service (DoS) condition or execute arbitrary code.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-lldp.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0167
Cisco,Cisco IOS Software Resource Management Errors Vulnerability,CVE-2018-0161,6.3,3/28/18,3/28/18,Unknown,"A vulnerability in the Simple Network Management Protocol (SNMP) subsystem of Cisco IOS Software running on certain models of Cisco Catalyst Switches could allow an authenticated, remote attacker to cause a denial-of-service (DoS) condition.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-snmp.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0161
Cisco,Cisco IOS and XE Software Internet Key Exchange Version 1 Denial-of-Service Vulnerability,CVE-2018-0159,7.5,3/28/18,3/28/18,Unknown,"A vulnerability in the implementation of Internet Key Exchange Version 1 (IKEv1) functionality in Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial-of-service (DoS) condition.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-ike-dos.html,Mar-22,Unknown,Unknown,N,8,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0159
